Player,Nation,Pos,Squad,Age,Born,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",Matches,Season,90s,Cmp,Att,Cmp%,Tot,Prg,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,TklW,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,Fld,Def,GCA,GCA90,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Avg,Opp,Stp,Stp%,#OPA,#OPA/90
Carlos Terán,co COL,DF,Chicago Fire,23,2000,18,14,1219,13.5,0.07,0.07,0.15,0.07,0.0,0.0,0.22,0.07,0.07,0.07,0.04,0.1,0.15,3.11,0.07,0.15,0.1,0.1,Matches,2024,13.5,54.5,65.9,82.7,1166.7,395.3,0.07,0.06,0.04,0.44,2.74,0.3,0.07,0.07,0.59,0.22,37.5,0.59,0.22,0.13,0.33,19.1,0.0,0.0,0.0,0.12,0.01,0.01,77.1,8.15,40.4,32.2,4.52,1.19,77.1,0.37,83.3,0.07,16.7,44.1,0.0,1.11,0.15,50.1,2.0,1.48,82.4,0.22,1.63,0.74,2.07,4.07,3.33,0.07,1.41,1.4,0.0,0.0,0.0,0.15,0.15,0.0,1.7,0.89,0.0,0.22,2.07,1.48,0.0,0.0,0.0,5.41,2.37,62.7,,,,,,,,,,,,,,,,,
Cedric Teuchert,de GER,"MF,FW",St. Louis,27,1997,10,10,754,8.4,0.6,0.48,1.07,0.6,0.0,0.0,0.24,0.0,0.26,0.26,0.26,0.52,2.02,4.05,3.81,1.07,0.52,0.52,Matches,2024,8.4,16.8,25.0,67.1,276.9,83.1,0.48,0.29,0.21,1.67,1.79,1.43,0.36,0.6,3.1,1.07,34.6,3.1,1.07,0.19,0.56,20.4,0.0,0.0,0.0,0.08,0.33,0.33,36.3,0.71,3.1,18.7,15.1,2.62,36.3,1.31,57.9,0.71,31.6,22.5,0.24,2.86,1.55,24.9,1.55,1.19,30.8,1.07,1.19,1.07,0.24,1.79,0.36,0.0,3.81,3.82,0.24,0.24,0.12,0.71,0.72,0.0,0.83,1.43,0.12,1.07,0.24,1.19,0.0,0.0,0.0,3.93,0.24,28.6,,,,,,,,,,,,,,,,,
Dylan Teves,us USA,"MF,FW",Seattle Sounders,23,2000,6,1,89,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,2.0,1.0,3.0,1.01,1.09,1.09,Matches,2024,1.0,28.0,36.0,77.8,325.0,45.0,0.0,0.3,-0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,1.01,1.01,1.0,1.0,10.0,0.0,0.0,0.0,0.47,0.5,0.5,51.0,1.0,11.0,18.0,22.0,3.0,51.0,2.0,66.7,1.0,33.3,23.0,0.0,6.0,1.0,31.0,3.0,2.0,66.7,1.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,100.0,,,,,,,,,,,,,,,,,
Jamal Thiaré,sn SEN,FW,Atlanta Utd,30,1993,25,12,1145,12.7,0.47,0.0,0.47,0.47,0.0,0.0,0.0,0.0,0.46,0.46,0.07,0.53,0.87,1.1,2.6,0.47,0.53,0.53,Matches,2024,12.7,7.24,11.7,61.7,97.4,22.0,0.0,0.06,-0.07,0.47,0.87,0.08,0.0,0.47,2.13,1.1,51.9,2.12,1.1,0.22,0.43,10.2,0.0,0.0,0.0,0.21,0.02,0.02,22.1,1.65,3.07,10.9,8.27,4.33,22.1,0.55,46.7,0.39,33.3,11.4,0.39,3.54,0.55,15.1,0.55,0.39,14.3,0.47,0.31,0.24,0.16,0.71,1.42,0.0,1.57,1.57,0.24,0.39,0.0,0.24,0.24,0.0,1.65,1.97,0.87,0.08,0.16,0.39,0.16,0.0,0.0,2.2,4.41,52.8,,,,,,,,,,,,,,,,,
Erik Thommy,de GER,"MF,FW",Sporting KC,29,1994,30,26,2323,25.8,0.27,0.16,0.43,0.27,0.0,0.0,0.12,0.0,0.21,0.21,0.12,0.33,4.96,4.22,7.17,0.43,0.33,0.33,Matches,2024,25.8,33.5,42.7,78.5,539.6,107.1,0.16,0.12,0.03,1.59,2.83,1.12,0.23,0.27,3.06,0.81,26.6,3.06,0.81,0.09,0.33,22.3,0.31,0.0,0.0,0.07,0.06,0.06,54.7,0.78,5.12,21.3,29.1,2.91,54.7,1.43,45.7,1.2,38.3,35.8,1.32,2.64,1.4,41.0,1.24,0.89,48.5,0.66,1.2,1.09,0.5,1.74,0.5,0.04,3.95,3.95,0.27,0.5,0.04,0.35,0.35,0.0,1.36,2.36,0.31,3.76,0.5,0.89,0.08,0.0,0.0,3.95,0.23,22.2,,,,,,,,,,,,,,,,,
Kosi Thompson,ca CAN,"MF,DF",Toronto FC,21,2003,29,6,1107,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.02,0.02,0.03,0.06,1.22,3.66,2.52,0.0,0.06,0.06,Matches,2024,12.3,42.2,49.0,86.1,696.2,226.7,0.0,0.04,-0.03,0.57,4.15,0.49,0.33,0.0,0.49,0.0,0.0,0.49,0.0,0.0,,20.4,0.0,0.0,0.0,0.05,-0.02,-0.02,60.6,2.93,18.9,32.0,10.0,0.89,60.6,0.41,35.7,0.49,42.9,34.3,0.24,1.3,0.65,41.4,2.28,1.3,72.0,0.57,2.2,1.71,0.65,2.93,2.11,0.08,1.38,1.38,0.08,0.0,0.08,0.24,0.24,0.0,1.46,0.89,0.08,0.81,0.65,1.3,0.0,0.0,0.0,3.98,0.98,44.4,,,,,,,,,,,,,,,,,
Tommy Thompson,us USA,"DF,FW",SJ Earthquakes,28,1995,10,0,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,7.0,4.0,0.0,0.14,0.14,Matches,2024,1.0,57.0,61.0,93.4,822.0,234.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.96,0.0,0.0,,11.6,0.0,0.0,0.0,0.05,-0.1,-0.1,75.0,5.0,17.0,32.0,27.0,3.0,75.0,2.0,100.0,0.0,0.0,42.0,0.0,2.0,3.0,51.0,4.0,2.0,50.0,2.0,0.0,0.0,2.0,6.0,4.0,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,100.0,,,,,,,,,,,,,,,,,
Timmy Tillman,us USA,MF,LAFC,25,1999,32,29,2478,27.5,0.15,0.11,0.25,0.15,0.0,0.0,0.29,0.0,0.15,0.15,0.11,0.26,2.04,5.6,3.16,0.25,0.26,0.26,Matches,2024,27.5,36.7,43.9,83.5,615.9,180.9,0.11,0.14,-0.0,1.31,4.29,1.42,0.29,0.15,1.31,0.33,25.0,1.31,0.33,0.11,0.44,18.5,0.0,0.0,0.0,0.11,0.0,0.0,55.7,1.71,11.1,30.2,15.6,1.82,55.7,1.42,45.9,1.49,48.2,34.4,0.25,1.64,0.8,38.1,2.62,1.75,50.8,1.16,1.24,0.87,1.24,3.85,0.98,0.0,3.6,3.6,0.29,0.22,0.22,0.4,0.4,0.0,1.2,2.65,0.0,1.27,1.24,1.75,0.04,0.0,0.0,6.47,0.4,45.8,,,,,,,,,,,,,,,,,
John Tolkin,us USA,DF,NY Red Bulls,21,2002,28,27,2386,26.5,0.08,0.04,0.11,0.08,0.0,0.0,0.11,0.0,0.03,0.03,0.15,0.18,2.11,3.43,5.43,0.11,0.18,0.18,Matches,2024,26.5,40.5,55.2,73.4,769.3,279.3,0.04,0.17,-0.11,2.11,3.06,0.91,0.42,0.08,0.57,0.19,33.3,0.57,0.19,0.13,0.4,24.7,0.15,0.0,0.0,0.05,0.05,0.05,64.7,2.53,17.4,27.2,20.6,0.87,64.7,0.64,40.5,0.79,50.0,31.7,0.3,1.28,0.45,34.6,1.66,1.09,53.1,0.57,1.32,1.17,1.09,2.75,1.7,0.08,3.55,3.54,0.08,0.15,0.0,0.11,0.11,0.0,0.79,1.02,0.11,6.45,1.09,1.09,0.04,0.0,0.0,4.38,0.64,43.6,,,,,,,,,,,,,,,,,
Nouhou Tolo,cm CMR,DF,Seattle Sounders,26,1997,27,26,2202,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.04,0.01,0.01,0.03,0.04,2.78,4.29,2.29,0.0,0.04,0.04,Matches,2024,24.5,47.0,56.4,83.2,757.3,218.1,0.0,0.05,-0.03,0.41,4.04,0.33,0.2,0.0,0.49,0.08,16.7,0.49,0.08,0.0,0.0,25.9,0.0,0.0,0.0,0.03,-0.01,-0.01,67.1,3.63,19.8,36.5,11.6,0.69,67.1,1.06,48.1,0.73,33.3,37.0,0.08,1.35,0.65,43.0,1.43,0.98,60.0,0.57,1.06,0.57,1.27,2.69,3.27,0.0,1.18,1.19,0.04,0.08,0.0,0.0,0.0,0.04,1.18,1.39,0.04,2.24,1.27,0.98,0.0,0.08,0.0,5.22,1.06,49.1,,,,,,,,,,,,,,,,,
Ervin Torres,us USA,MF,Austin,16,2007,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,Matches,2024,0.1,20.0,40.0,50.0,530.0,130.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,40.0,0.0,0.0,10.0,30.0,0.0,40.0,0.0,,0.0,,20.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,,,,,,,,,,,,,,,,,
Facundo Torres,uy URU,"FW,MF",Orlando City,23,2000,32,30,2633,29.3,0.48,0.1,0.58,0.41,0.07,0.1,0.1,0.0,0.29,0.22,0.12,0.33,2.01,5.94,10.6,0.51,0.41,0.33,Matches,2024,29.3,40.9,50.1,81.6,570.6,142.3,0.1,0.17,-0.01,1.47,3.07,1.67,0.58,0.48,1.98,0.96,48.3,1.98,0.96,0.21,0.43,17.3,0.0,0.07,0.1,0.11,0.18,0.19,59.7,0.58,5.77,24.9,29.4,4.78,59.6,0.78,40.4,0.99,50.9,40.5,0.51,1.95,1.37,49.0,0.99,0.51,56.7,0.44,0.82,0.78,0.44,1.43,0.41,0.0,3.31,3.31,0.17,0.14,0.03,0.27,0.27,0.0,0.65,1.6,0.24,3.21,0.44,0.51,0.03,0.0,0.0,4.74,0.68,46.5,,,,,,,,,,,,,,,,,
Tomas Totland,no NOR,DF,St. Louis,25,1998,30,28,2486,27.6,0.07,0.04,0.11,0.07,0.0,0.0,0.25,0.0,0.06,0.06,0.08,0.14,1.38,3.8,5.14,0.11,0.14,0.14,Matches,2024,27.6,32.3,44.6,72.4,531.2,226.7,0.04,0.09,-0.04,0.91,2.54,1.34,0.36,0.07,0.62,0.25,41.2,0.62,0.25,0.12,0.29,20.2,0.04,0.0,0.0,0.1,0.01,0.01,56.0,3.91,16.1,23.0,17.2,1.59,56.0,0.72,52.6,0.62,44.7,25.6,0.25,0.94,0.94,27.2,2.07,1.01,63.1,0.87,1.34,0.91,1.63,3.7,2.97,0.04,2.07,2.06,0.11,0.07,0.0,0.18,0.18,0.0,0.76,0.98,0.07,2.86,1.63,1.01,0.0,0.0,0.0,5.18,0.83,47.9,,,,,,,,,,,,,,,,,
Mason Toye,us USA,"FW,MF",Portland Timbers,25,1998,5,1,148,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.63,1.88,0.63,5.0,0.0,0.58,0.58,Matches,2024,1.6,7.5,10.0,75.0,100.6,15.6,0.0,0.06,0.0,0.63,0.0,1.25,0.63,0.0,4.38,1.88,42.9,4.26,1.82,0.0,0.0,12.2,0.0,0.0,0.0,0.13,-0.56,-0.56,20.0,1.88,2.5,5.0,12.5,5.0,20.0,0.0,0.0,0.63,100.0,10.0,0.63,1.25,0.0,13.8,0.0,0.0,0.0,0.63,1.25,0.0,0.0,0.0,0.63,0.0,1.25,1.22,0.0,0.63,0.0,0.0,0.0,0.0,3.13,0.63,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.63,10.0,,,,,,,,,,,,,,,,,
Mason Toye,us USA,"FW,MF",CF Montréal,25,1998,12,6,476,5.3,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.21,0.21,0.23,0.43,2.64,0.75,4.53,0.19,0.43,0.43,Matches,2024,5.3,15.7,21.9,71.6,234.7,35.5,0.0,0.11,-0.23,0.75,0.57,0.57,0.38,0.19,1.32,0.75,57.1,1.32,0.76,0.14,0.25,22.9,0.0,0.0,0.0,0.16,-0.02,-0.02,30.0,0.75,3.02,16.8,10.6,2.45,30.0,0.75,44.4,0.94,55.6,15.1,1.13,2.08,0.94,21.5,0.0,0.0,0.0,0.57,0.94,0.75,0.75,0.75,0.75,0.0,1.7,1.7,0.19,0.0,0.0,0.19,0.19,0.0,0.94,0.38,0.75,1.13,0.75,0.0,0.0,0.0,0.0,2.26,1.13,40.0,,,,,,,,,,,,,,,,,
Wil Trapp,us USA,MF,Minnesota Utd,31,1993,27,26,2296,25.5,0.04,0.04,0.08,0.0,0.04,0.04,0.2,0.0,0.07,0.04,0.05,0.09,0.67,6.39,1.02,0.04,0.12,0.09,Matches,2024,25.5,39.5,47.0,84.1,682.5,219.5,0.04,0.07,-0.01,0.71,5.18,0.78,0.16,0.04,0.78,0.12,15.0,0.78,0.12,0.0,0.0,26.2,0.0,0.04,0.04,0.05,-0.04,-0.04,55.7,1.84,12.1,32.7,10.9,0.47,55.7,0.63,59.3,0.35,33.3,30.5,0.04,0.82,0.9,37.3,2.12,1.18,54.2,0.86,0.98,0.59,0.98,3.1,1.18,0.0,2.24,2.23,0.04,0.08,0.04,0.2,0.2,0.0,1.49,0.63,0.0,0.75,0.98,1.18,0.0,0.0,0.0,4.47,0.82,45.7,,,,,,,,,,,,,,,,,
Jackson Travis,us USA,DF,Colorado Rapids,19,2004,9,6,482,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2.59,4.07,3.52,0.0,0.02,0.02,Matches,2024,5.4,41.1,52.4,78.4,616.9,203.3,0.0,0.04,-0.02,0.74,2.78,0.74,0.56,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,62.6,3.33,20.9,27.2,15.4,0.74,62.6,0.56,50.0,0.56,50.0,31.3,0.37,0.93,0.37,36.5,2.04,1.48,55.6,0.74,2.04,1.48,0.56,2.59,2.41,0.0,1.11,1.12,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.93,0.56,1.48,0.0,0.0,0.0,4.81,0.56,27.3,,,,,,,,,,,,,,,,,
Niko Tsakiris,us USA,MF,SJ Earthquakes,18,2005,25,19,1468,16.3,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.04,0.04,0.09,0.13,1.78,3.31,2.45,0.06,0.13,0.13,Matches,2024,16.3,36.0,42.9,83.7,563.6,138.5,0.06,0.09,-0.03,0.74,3.44,0.61,0.12,0.0,0.67,0.06,9.1,0.67,0.06,0.0,0.0,23.0,0.0,0.0,0.0,0.05,-0.04,-0.04,53.1,2.39,12.6,31.9,9.26,1.1,53.1,0.49,32.0,0.67,44.0,31.2,0.12,1.72,0.98,37.5,1.66,1.04,43.8,1.1,1.29,0.98,0.8,2.45,1.23,0.0,1.78,1.78,0.06,0.12,0.0,0.06,0.06,0.0,0.92,1.53,0.0,0.61,0.8,1.04,0.0,0.06,0.0,4.66,0.37,30.0,,,,,,,,,,,,,,,,,
Yutaro Tsukada,jp JPN,FW,Orlando City,22,2001,3,0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.2,0.2,Matches,2024,0.2,45.0,65.0,69.2,520.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.29,0.0,0.0,,12.9,0.0,0.0,0.0,0.05,0.0,0.0,85.0,5.0,15.0,40.0,40.0,15.0,85.0,5.0,50.0,5.0,50.0,70.0,0.0,5.0,0.0,65.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,
Garrison Tubbs,us USA,DF,D.C. United,21,2002,15,7,551,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.08,0.08,0.0,0.08,0.16,2.46,0.16,0.0,0.08,0.08,Matches,2024,6.1,35.7,40.8,87.6,626.4,185.2,0.0,0.0,0.0,0.0,0.98,0.33,0.0,0.0,0.66,0.16,25.0,0.65,0.16,0.0,0.0,9.3,0.0,0.0,0.0,0.13,-0.08,-0.08,50.2,3.77,21.6,25.4,3.28,1.15,50.2,0.0,0.0,0.33,100.0,28.0,0.0,0.49,0.33,29.7,2.79,1.31,91.7,0.16,0.98,0.49,0.98,3.77,2.62,0.0,0.33,0.33,0.0,0.16,0.0,0.16,0.16,0.0,0.98,0.98,0.16,0.16,0.98,1.31,0.16,0.0,0.0,4.26,1.31,53.3,,,,,,,,,,,,,,,,,
Bill Tuiloma,nz NZL,DF,Charlotte,28,1995,4,2,199,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.27,0.32,0.0,2.73,0.45,0.0,0.31,0.31,Matches,2024,2.2,50.9,65.9,77.2,1099.5,448.2,0.0,0.09,-0.27,0.45,3.64,0.45,0.0,0.0,0.91,0.45,50.0,0.9,0.45,0.0,0.0,15.9,0.45,0.0,0.0,0.07,-0.05,-0.05,73.6,7.27,37.3,35.5,1.36,0.45,73.6,0.0,,0.0,,54.5,0.0,0.45,0.0,53.6,0.45,0.45,100.0,0.0,0.91,0.45,0.45,0.91,4.09,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.45,0.0,0.0,0.45,0.45,0.0,0.0,0.0,2.73,4.09,60.0,,,,,,,,,,,,,,,,,
Ema Twumasi,gh GHA,DF,FC Dallas,26,1997,19,13,1181,13.1,0.0,0.08,0.08,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.1,0.11,1.68,2.6,2.98,0.08,0.11,0.11,Matches,2024,13.1,41.6,49.1,84.8,612.4,158.8,0.08,0.05,-0.02,0.69,1.83,0.61,0.08,0.0,0.15,0.0,0.0,0.15,0.0,0.0,,15.1,0.0,0.0,0.0,0.04,-0.01,-0.01,57.3,3.51,20.5,26.2,10.8,0.76,57.3,0.23,30.0,0.53,70.0,29.7,0.38,0.99,1.15,34.7,1.91,1.22,58.3,0.76,0.84,0.46,0.38,2.29,2.21,0.08,1.15,1.14,0.0,0.0,0.0,0.15,0.15,0.0,1.3,0.53,0.08,0.76,0.38,1.22,0.0,0.15,0.0,3.66,0.92,57.1,,,,,,,,,,,,,,,,,
Marinos Tzionis,cy CYP,"FW,MF",Sporting KC,22,2001,9,4,279,3.1,0.32,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.13,0.13,0.06,0.16,2.9,1.61,8.06,0.32,0.17,0.17,Matches,2024,3.1,24.5,30.0,81.7,353.5,71.9,0.0,0.06,-0.06,1.29,0.97,0.32,0.32,0.32,0.97,0.32,33.3,0.97,0.32,0.33,1.0,15.7,0.0,0.0,0.0,0.12,0.19,0.19,45.5,0.97,4.52,18.4,22.9,3.23,45.5,1.94,42.9,2.58,57.1,28.7,0.65,2.26,2.26,31.3,1.94,0.97,0.0,0.32,1.94,1.61,0.97,2.9,0.65,0.0,2.58,2.59,0.0,0.0,0.32,0.0,0.0,0.0,0.97,1.94,0.0,0.97,0.97,0.97,0.0,0.0,0.0,3.87,0.65,40.0,,,,,,,,,,,,,,,,,
Mikael Uhre,dk DEN,FW,Philadelphia Union,29,1994,30,25,2005,22.3,0.45,0.22,0.67,0.45,0.0,0.0,0.18,0.0,0.37,0.37,0.11,0.48,1.97,1.39,6.14,0.67,0.48,0.48,Matches,2024,22.3,10.5,17.3,61.0,147.4,30.5,0.22,0.15,0.12,0.81,0.45,0.81,0.18,0.45,2.24,1.12,50.0,2.24,1.12,0.2,0.4,14.3,0.0,0.0,0.0,0.16,0.08,0.08,27.7,0.99,2.2,9.24,16.3,4.66,27.7,0.18,19.0,0.67,71.4,15.5,0.9,2.56,0.99,19.5,1.12,0.63,50.0,0.49,0.67,0.58,0.18,1.3,0.76,0.0,2.29,2.29,0.09,0.4,0.0,0.49,0.49,0.0,1.88,1.75,0.94,1.39,0.18,0.63,0.0,0.0,0.0,2.38,2.29,44.7,,,,,,,,,,,,,,,,,
Jere Uronen,fi FIN,DF,Charlotte,29,1994,26,24,2129,23.7,0.0,0.17,0.17,0.0,0.0,0.0,0.08,0.0,0.02,0.02,0.08,0.1,1.81,4.73,2.83,0.17,0.1,0.1,Matches,2024,23.7,43.0,53.5,80.4,707.8,244.9,0.17,0.09,0.09,0.8,4.18,0.8,0.25,0.0,0.34,0.13,37.5,0.34,0.13,0.0,0.0,25.0,0.17,0.0,0.0,0.06,-0.02,-0.02,63.2,3.88,18.1,28.5,16.9,0.55,63.2,0.3,41.2,0.38,52.9,30.1,0.13,0.72,0.42,35.7,1.86,1.1,63.3,0.76,1.39,1.01,1.18,3.04,2.74,0.0,1.77,1.78,0.0,0.13,0.0,0.21,0.21,0.0,0.84,0.72,0.04,3.38,1.18,1.1,0.0,0.0,0.0,3.21,1.1,53.1,,,,,,,,,,,,,,,,,
Júnior Urso,br BRA,MF,Charlotte,34,1989,21,11,1023,11.4,0.09,0.0,0.09,0.09,0.0,0.0,0.26,0.0,0.11,0.11,0.11,0.22,1.14,2.37,1.84,0.09,0.22,0.22,Matches,2024,11.4,28.6,35.3,81.1,453.2,92.0,0.0,0.04,-0.11,0.61,2.63,0.61,0.18,0.09,1.58,0.44,27.8,1.58,0.44,0.06,0.2,14.0,0.0,0.0,0.0,0.07,-0.03,-0.03,46.4,2.46,11.0,26.1,9.65,2.46,46.4,0.96,50.0,0.79,40.9,25.4,0.44,0.79,0.88,30.5,2.54,1.49,45.5,1.05,1.05,0.7,1.14,3.68,1.58,0.0,1.4,1.41,0.0,0.09,0.09,0.09,0.09,0.0,1.49,1.67,0.0,0.26,1.14,1.49,0.0,0.0,0.0,4.47,1.05,75.0,,,,,,,,,,,,,,,,,
Leo Väisänen,fi FIN,DF,Austin,26,1997,13,9,831,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.33,3.59,0.0,0.0,0.03,0.03,Matches,2024,9.2,50.8,55.2,91.9,973.7,323.6,0.0,0.01,0.0,0.0,2.72,0.11,0.0,0.0,0.43,0.22,50.0,0.43,0.22,0.0,0.0,14.0,0.0,0.0,0.0,0.07,-0.03,-0.03,65.0,8.48,36.5,27.6,0.98,0.43,65.0,0.0,,0.0,,31.7,0.0,0.11,0.0,45.8,1.63,0.98,81.8,0.22,1.41,0.33,0.65,2.28,4.35,0.11,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.65,0.98,0.0,0.0,0.0,3.8,1.2,52.4,,,,,,,,,,,,,,,,,
Jhojan Valencia,co COL,MF,Austin,27,1996,27,16,1438,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.01,0.02,0.03,0.25,4.25,0.31,0.0,0.03,0.03,Matches,2024,16.0,43.8,49.7,88.2,878.9,244.6,0.0,0.02,-0.02,0.25,5.69,0.19,0.0,0.0,0.5,0.06,12.5,0.5,0.06,0.0,0.0,27.1,0.0,0.0,0.0,0.03,-0.01,-0.01,59.0,3.38,18.5,35.3,5.44,0.25,59.0,0.88,70.0,0.38,30.0,27.9,0.0,1.06,0.56,40.6,2.25,1.44,41.9,1.13,1.0,0.63,0.88,3.13,1.88,0.06,0.94,0.94,0.0,0.0,0.06,0.13,0.13,0.0,2.19,0.69,0.0,0.0,0.88,1.44,0.0,0.0,0.0,5.69,0.56,50.0,,,,,,,,,,,,,,,,,
Omar Valencia,pa PAN,MF,NY Red Bulls,19,2004,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,0.0,3.0,4.0,75.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,7.0,1.0,3.0,2.0,2.0,0.0,7.0,0.0,0.0,1.0,100.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
